__label__6__1	Сломался сломал испортился испортил смеситель с душем						
__label__6__1	Повредил смеситель с душем						
__label__6__1	Течет смеситель течет душ						
__label__6__1	Протекает смеситель протекает душ						
__label__6__1	Заржавел смеситель заржавел душ						
__label__6__1	Замена смесителя замена душа						
__label__6__2	Накрылась елочка испортилась елочка заржавела течет елочка						
__label__6__3	Демонтаж полотенцесушителя монтаж полотенцесушителя						
__label__6__3	Испорчен испортил повредил сломан сломал полотенцесушитель						
__label__6__3	Течет полотенцесушитель						
__label__6__3	Замените заменить поменять полотенцесушитель						
__label__6__4	Сломался унитаз						
__label__6__4	Заменить унитаз						
__label__6__4	Поменять унитаз						
__label__6__4	Унитаз сломался						
__label__6__4	Унитаз треснул						
__label__6__4	Лопнул бачок унритаза						
__label__6__4	Сломался слив унитаза						
__label__6__4	Не работает унитаз						
__label__6__4	Сломали унитаз						
__label__6__5	Не работает вентиль						
__label__6__5	Сломался вентиль						
__label__6__5	Треснул вентиль						
__label__6__5	Заменить вентиль						
__label__6__5	Поменять вентиль						
__label__6__5	Лопнул вентиль						
__label__6__5	Новый вентиль						
__label__6__6	Не топит батарея						
__label__6__6	Заменить радиатор						
__label__6__6	Замена батареи						
__label__6__6	Прорвало батарею						
__label__6__6	Прорвало радиатор						
__label__6__6	Холодный радиатор						
__label__6__6	Холодная батарея						
__label__6__6	Течет радиатор						
__label__6__6	Протекает радиатор						
__label__6__6	Протекает батарея						
__label__6__6	Течет батарея						
__label__6__7	Замена старой ванной						
__label__6__7	Поменять ванну						
__label__6__7	Распилить ванну						
__label__6__7	Установить ванну						
__label__6__7	Треснула ванная						
__label__6__7	Протекает ванная						
__label__6__7	Сломалась ванная						
__label__6__8	Треснул умывальник						
__label__6__8	Разбил разбили умывальник						
__label__6__8	поменять раковину						
__label__6__8	протекает умывальник						
__label__6__8	поменять умывальник						
__label__6__8	Замена раковины						
__label__6__8	Поменять смеситель на раковине						
__label__6__8	Замена умывальника						
__label__6__9	Установить стиральную машину						
__label__6__9	Подключить стиральную машину						
__label__6__9	Стиральная машина установить						
__label__6__9	Поставить стиралку						
__label__6__9	Поставить стиральную машину						
