__label__5__1	осыпается полоток в подъезде									
__label__5__1	в третьем подъезде на потолке сыпется штукатурка									
__label__5__1	краска на потолке в подъезде отваливается кусками									
__label__5__1	отремонтируйте потолок весь потрескался									
__label__5__1	жуткий потолок в подъезде, нет ивго места весь в трещинах и облупленный									
__label__5__2	сломался почтовый ящик									
__label__5__2	у меня отвалилась дверца почтового ящика									
__label__5__2	не работает замок в почтоявом ящичке									
__label__5__2	потеряли ключи от почтового ящика нужно заменить									
__label__5__2	змените замок в почтовом ящика									
__label__5__2	почините мой почтовый ящик									
__label__5__2	заклинило почтовый ящик									
__label__5__3	в подъеде обрисовали стены									
__label__5__3	нужно обновить ремонт в подъезде									
__label__5__3	стены нужно покрасить									
__label__5__3	в подъезде давно не делали ремонт									
__label__5__3	жуткие стены, разбилась плитка на полу у лифтов, линолеум в подъезде порвался									
__label__5__3	невозможно зайти в подъезд ужасно выглядит									
__label__5__3	давно не обновляли подъезд замените цвет стен обрисовали стены испортили краску на моем этаже									
__label__5__3	на этажах ужасно выглядят стены									
__label__5__3	на полу давно пора заменить плитку разбитую									
__label__5__4	перила в подъезде сломаны									
__label__5__4	установите новые перила и поручни									
__label__5__4	сделайте перила для детей									
__label__5__4	перила перед подъездом отвалились									
__label__5__4	поручни в поъезде сломались									
__label__5__5	ступеньки ступени в подъезд выглядят ужасно									
__label__5__5	разбилась развалилась ступенька в подъезде									
__label__5__5	перед подъездом нужно сделать новые ступени									
__label__5__5	подъем в подъезд для колясок развалился									
__label__5__5	отремонтируйте ступени									
__label__5__5	отремонтируйте подъем в подъезд									
__label__5__5	ступени на 6 этаж развалились									
__label__5__6	козырек над подъездом протекает									
__label__5__6	слив с козырька подъездного прямо на голову									
__label__5__6	капает с козырька									
__label__5__6	навес над подъездом сломан									
__label__5__6	почните козырек подъездный									
__label__5__7	сделали плохо ремонт									
__label__5__7	плохой ремонт									
__label__5__7	переделайте ремонт									
__label__5__7	перекрасьте стены новый ремонт плохой									
__label__5__7	ужасно сделали ремон									
__label__5__7	текущий ремонт не удовлетворяет требованиям безопасности									
__label__5__7	отвратительный ремонт сделали									
__label__5__7	зря сделали ремонт старый был лучше									
