__label__2__1	Лифт остановился													
__label__2__1	Двери лифта открылись, а там чёрная стена													
__label__2__1	Нажимаю на кнопку этажа двери закрываются но лифт не едет 													
__label__2__1	Лифт зажевал рюкзак													
__label__2__1	Настройте лифт так, чтобы всегда возвращался на 1 этаж.													
__label__2__1	Если несколько лифтов в доме ( у нас 3). Мы просили такую настройку , чтобы один всегда возращался 1 другой на 25.													
__label__2__1	Ключи упали в шахту. Помогите!													
__label__2__1	Жители подъезда: слишком шумный лифт! Помогите «заглушить»													
__label__2__1	Лифт не останавливается на моем этаже													
__label__2__1	Лифт часто ломается													
__label__2__1	Лифт часто ломается													
__label__2__1	В лифте плохо пахнет													
__label__2__1	Все лифты встали!													
__label__2__1	Все работают, но ни один не останавливается на моём этаже, а уже опаздываю													
__label__2__1	Лифт не едет вниз. У нас так было.  По кнопке вызова не ехал.  Нужно было ждать когда кто то наверху сядет в него и нажмёт 1 этаж )													
__label__2__1	Прошу заменить музыку в лифте													
__label__2__1	У нас ещё лифт настроили так,что он на лёгких девушек не реагировал и никуда не ехал													
__label__2__1	Ободрали обшивку лифта													
__label__2__1	Не работает вентилятор в лифте													
__label__2__1	Настройте грузоподъёмность лифта, грузовой лифт перегружается от трёх человек													
__label__2__1	После отключения электроэнергии, лифт не вернулся на первый этаж и не открыл двери													
__label__2__1	На полу лифта сквозная дыра, страшно ездить, заделайте, чуть не провалилась чи-хуа-хуа													
__label__2__1	При движении кабины лифта слышен запах дыма, возможно замыкает проводку													
__label__2__1	Сломан поручень в лифте для инвалидов													
__label__2__2	Лифт трясётся													
__label__2__2	Трещит лебёдка и слышен сильный скрежет при движении лифта, необходимо ТО, ремонт													
__label__2__2	Добрый вечер, лифт дрожит													
__label__2__2	Когда еду вниз на первом этаже вибрация лифтов													
__label__2__2	Устраните дребезжание лифта													
__label__2__2	Почините лифт он вибрирует													
__label__2__2	Лифт трясетсяя и вибрирует													
__label__2__2	Меня трясет в лифте													
__label__2__2	Когда еду в лифте он трясется													
__label__2__2	Вибрации в лифте ужасные													
__label__2__2	Грохот в лифте, когда спускаемся, а когда поднимается, то нормально													
__label__2__2	Дребезжит уже несколько дней наш грузовой лифт													
__label__2__3	Лифт не доехал до этажа													
__label__2__3	лифт переезжает этаж													
__label__2__3	уровень этажа не выровнен в лифте													
__label__2__3	В нашем лифте порог высокий													
__label__2__3	Низкий порог в лифте													
__label__2__3	Переподъем кабины лифта грузового у нас в подъезде													
__label__2__3	Лифт проехал этаж и открыл двери													
__label__2__3	Лифт не доехал и открылся													
__label__2__3	В лифте не установлен уровень порога													
__label__2__4	В лифте погас свет и остановилось движение 													
__label__2__4	Не работает лампочка в лифте													
__label__2__4	Темный лифт													
__label__2__4	Когда двери закрываются, то гаснет лампочка													
__label__2__4	В нашем лифте неисправное освещение													
__label__2__4	Слишком яркий свет в кабине!													
__label__2__4	Не хватает освещенности в кабине лифта													
__label__2__4	Замените лампочку в лифте - очень темно													
__label__2__4	Наш лифт очень темный													
__label__2__4	Ничего не вижу в лифте, когда спускаемся или поднимаемся													
__label__2__5	Не могу вызвать лифт													
__label__2__5	Кнопка вызова не работает, помогите													
__label__2__5	Не могу вызвать лифт													
__label__2__5	Не могу нажать на нужную кнопку, т.к. она вдавлена/сожжена													
__label__2__5	Бьет током при нажатии кнопок в кабине													
__label__2__5	Кнопка 5 этажа сломана													
__label__2__5	Не хватает кнопки 													
__label__2__5	Неправильно расставлены кнопки! Я на 15 этаже живу, а едет на 14, когда я нажимаю 13. 													
__label__2__5	Поставьте новые кнопки в лифте, наши сожжены													
__label__2__5	Залепили жвачкой кнопки лифта													
__label__2__5	Кнопки залипли и лифт едет только на 4 этаж													
__label__2__5	Поломались кнопочки в лифте													
__label__2__5	Кнопочка моего этажа выпала													
__label__2__5	Все кнопки отвалились													
__label__2__6	Устраните запах ( вонь ) из шахты													
__label__2__6	Отмойте лифт													
__label__2__6	В лифте написали , не могу туда зайти													
__label__2__6	Нашли бомжа в лифте, к кому обратиться?													
__label__2__6	Лифт изрисован, исписан ненормативной лексикой, прошу закрасить													
__label__2__6	В лифте мусор													
__label__2__6	Очень грязный лифт													
__label__2__6	Уберите грузовой лифт													
__label__2__6	Обрисованы стены в лифте													
__label__2__6	Подметите пол в лифте													
__label__2__6	Испачканы стены в лифте													
__label__2__7	Лифт открыл двери между двумя этажами, что делать?													
__label__2__7	Двери лифта не закрываются полностью при движении кабины													
__label__2__7	Сломан пульт в кабине													
__label__2__7	Двери кабины/лифт не закрываются / не до конца закрываются													
__label__2__7	Приоткрылись двери лифта и движение продолжилось													
__label__2__7	лифт сломался - не работают двери, только приоткрылись и все													
__label__2__7	Заклинило двери в лифте													
__label__2__7	Одна дверь в лифте не открывается													
__label__2__7	Дверь открывается не полностью													
__label__2__7	Дверь чуть-чуть не открывается													
__label__2__7	Дверь открываетсяя чуть-чуть													
__label__2__7	Двери не до конца закрываются													
__label__2__7	Двери лифта не до конца открываются													
__label__2__8	Я в кабине лифта  не доехал до 20 этажа													
__label__2__8	Я застрял в лифте 													
__label__2__8	В лифте погас свет и остановилось движение 													
__label__2__8	Лифтёр скоро придёт на помощь?													
__label__2__8	Моя бабушка застряла в лифте													
__label__2__8	Мой ребенок застрял в лифте, помогите!!													
__label__2__8	Мне страшно помогите я в лифте													
__label__2__8	Вытащите меня из лифта													
__label__2__8	В лифте застряли дети!													
__label__2__8	Пассажир в лифте													
__label__2__8	Человек попал в лифт и он не открывается													
__label__2__8	Не могу выйти из лифта													
__label__2__8	Я в лифте помогите													
__label__2__9	В лифте что то течет с потолка													
__label__2__9	Лифт затопило													
__label__2__9	Я слышу, что в шахте лифта течет вода													
__label__2__9	Вода где-то льется в лифте													
__label__2__9	Когда еду в лифте слышу воду													
__label__2__9	Где-то что-то льется, когда еду в лифте													
__label__2__9	В лифте водопад													
__label__2__9	затопило лифт													
__label__2__9	в лифте вода													
__label__2__9	в шахте лужи воды 													
__label__2__9	По стенам лифта течет вода													
__label__2__9	По стенам шахты льется вода													
__label__2__10	Лифтёр хамит при обращении в диспетчерскую и просьбе вызвать ремонтников													
__label__2__10	не работает связь с диспетчером													
__label__2__10	Не могу вызвать лифтера													
__label__2__10	Не могу вызвать службу спасения													
__label__2__10	В лифте не работает обратная связь													
__label__2__10	Не отвечает диспетчер													
