__label__3__1	чувствуется газ в квартире						
__label__3__1	прорвало газопровод						
__label__3__1	у меня прорвало газ						
__label__3__1	газовую трубу прорвало						
__label__3__1	протекает газ в квартире!						
__label__3__1	утечка газа						
__label__3__1	сильный газовый запах						
__label__3__2	нет газа						
__label__3__2	включите газ						
__label__3__2	у меня не подается газ						
__label__3__2	конфорка не включается						
__label__3__2	прекращение подачи газа						
__label__3__2	в доме выключили газ						
__label__3__2	почему выключился газ?						
__label__3__2	прекратили подачу газа						
__label__3__2	со вчерашнего дня мы без газа						
__label__3__3	чувствуется газ у подъезда						
__label__3__3	в подъезде газ						
__label__3__3	воняет газом у подъезда						
__label__3__3	газовый запах в 4 подъезде						
__label__3__3	где-то протекает газ в доме пахнет на весь подъезд						
__label__3__3	срочно приезжайте газом пахнет						
__label__3__3	сильный газовый запах около дома						
__label__3__4	в газовой трубе вода						
__label__3__4	у нас из газовой трубы капает вода						
__label__3__4	шипит вода из казовой конфорки						
__label__3__4	в конфорке вода						
__label__3__4	в газе вода						
__label__3__5	повреждено крепление газопровода						
__label__3__5	газовая труба оторвалась						
__label__3__5	болтается труба с газом						
__label__3__5	газ от стены отстает						
__label__3__5	труба с газом сильно шатается						
__label__3__5	газопровод не закреплен						
__label__3__6	около двери пахнет газом						
__label__3__6	газ где-то протекает в квартире						
__label__3__6	сиьный запах газа						
__label__3__6	газовый запах в 4 подъезде						
__label__3__6	воняет в квартире газом						
__label__3__6	около квартиры газовое облако						
__label__3__7	почините газовую плиту						
__label__3__7	сломалась плита с газом						
__label__3__7	моя плита газовая сломалась						
__label__3__7	плохо работает плита с газом						
__label__3__7	сломана плита на кухне газовая						
__label__3__7	мне сломали газовую плиту						
__label__3__7	нужна починка плиты газовой						
__label__3__7	оторвался кран от плиты						
__label__3__8	котел не работает						
__label__3__8	газовый котел сломался						
__label__3__8	нужен ремонт котла газового						
__label__3__8	почините газовый котел						
__label__3__8	необходимо отремонтировать газовый котел						
__label__3__8	сломался газовый котел						
__label__3__9	ремонт газовой колонки						
__label__3__9	почините мне гаховую колонку						
__label__3__9	у нас не работает газовая колонка						
__label__3__9	сломалась газовая колонка на кухне						
__label__3__9	требуется срочный ремонт колонки с газом						
__label__3__9	помогите с газовой колонкой						
__label__3__10	Замените газовую плиту						
__label__3__10	пришлите мне мастера, который заменит газовую плиту						
__label__3__10	Мне нужно поменять плиту газовую						
__label__3__10	требуется замена плиты. Новую газовую плиту я уже купила						
__label__3__10	можно ли заказать вызов мастера по замене газовой плиты						
__label__3__10	вызываю мастера для замены газовой плиты на кухне						
__label__3__11	требуется сварка при замене газовой плиты						
__label__3__11	не можем поставить новую газовую плиту требуетс сварка						
__label__3__11	замена газовой плиты со сварочными работами						
__label__3__11	поменять газову плиту на кухне, необходимо заменить трубу						
__label__3__11	сменить плиту с газовой трубой						
__label__3__11	необходима замена газовой плиты, она сломалась, но чтобы мастер мог приварить трубу,вроду оно старая и требует замены						
__label__3__12	демонтаж газовой плиты с установкой заглушки						
__label__3__12	нужно поставить заглушку на газ, чтобы выкинуть плиту						
__label__3__12	мы будем делать ремонт и нужно отключить газовую плиту,и поставить заглушку на трубу с газом						
__label__3__12	нужна заглушка на газовую трубу, чтобы отключить плиту						
__label__3__12	нужно снять плиту с газом (газ), и еще заткнуть трубу из-под газа						
__label__3__12	помогите отключить плиту и перекрыть газовую трубу						
__label__3__13	у меня забилась конфорка						
__label__3__13	необходимо прочистить и откалибровать горелку плиты						
__label__3__13	газовая горелка забилась						
__label__3__13	плохо проходит газ в горелку						
