__label__1__1	У меня прорвало трубу в туалете!!								
__label__1__1	Сегодня пришли домой, а все затоплено, скорее всего прорвало трубу у соседей								
__label__1__1	В трубе, которая в туалете в стояке капает на стыке вода. 								
__label__1__1	прорвало трубу я не знаю, что делать								
__label__1__1	У меня течет стояк в ванне								
__label__1__1	из трубы фонтаном бьет вода								
__label__1__1	Прорвало холодную воду! И холодная, и горячая вода текут трубы в туалете								
__label__1__2	У меня течет кран перекрытия воды								
__label__1__2	Вводный кран поломался								
__label__1__2	Сломался кран перекрытия воды								
__label__1__2	не работает вентель перекрытия воды								
__label__1__2	Помогите починить кран перекрытия воды								
__label__1__3	в подвале вода								
__label__1__3	подвал затопило								
__label__1__3	из подвала вытекает вода								
__label__1__3	по стенам в подвале льется вода								
__label__1__4	куда пропала холодная вода								
__label__1__4	у меня нет холодной воды								
__label__1__4	Выше 3 этажа нет воды								
__label__1__4	вода еле течет из холодного крана								
__label__1__4	когда дадут холодную воду?								
__label__1__4	нвторой нет холодной водоы								
__label__1__4	нет холодного водоснабжения								
__label__1__5	у меня сломался кран в ванне								
__label__1__5	мой кран сломался, в ванне не могу открыть воду								
__label__1__5	заклинилок кран в ванне								
__label__1__5	теет вода в ванне из крана								
__label__1__5	регулятор воды в ванне сломался								
__label__1__5	краник поломался холодной воды								
__label__1__5	помогите починить кран в ванне								
__label__1__5	необходимо заменить смеситель в ванне								
__label__1__5	смеситель в ванне течет								
__label__1__6	у меня сломался кран на кухне								
__label__1__6	мой кран сломался, на кухне не могу открыть воду								
__label__1__6	заклинилок кран на кухне								
__label__1__6	теет вода на кухне из крана								
__label__1__6	регулятор воды на кухне сломался								
__label__1__6	краник поломался холодной воды на кухне								
__label__1__6	помогите починить кран на кухне								
__label__1__6	необходимо заменить смеситель на кухне								
__label__1__6	смеситель на кухне течет								
__label__1__7	гибкая подводка прорвало								
__label__1__7	порвалась гибкая подводка								
__label__1__7	Труба под раковиной в ванне течет								
__label__1__7	Под ванной прорвало подводку								
__label__1__7	Мягкая труба холодная течет под ванной								
__label__1__7	под раковиной труба такая мягкая протекает в ванной комнате								
__label__1__8	У меня сорвало гибкую подводку на кухне								
__label__1__8	гибкой подводке капец в кухне								
__label__1__8	прорвало гибкую подводку на кухне								
__label__1__8	мягкая труба под раковиной на кухне протекает								
__label__1__8	сорвало гибкую трубу на кухне								
__label__1__9	Мягкая подводка в туалете течет								
__label__1__9	сорвало мягкую подводку в туалете								
__label__1__9	прорвало мягкую трубу в туалете								
__label__1__9	изгибающуюся трубу в туалете прорвало								
__label__1__9	сорвало подводку под унитазом								
__label__1__9	за унитасом отвалилась трубка								
__label__1__10	бачок унитаза разбился								
__label__1__10	в туалете разбися бачок								
__label__1__10	капает с бачка								
__label__1__10	бачок не держит воду								
__label__1__10	из бачка льется вода все время								
__label__1__10	протекает вода в бачке унитаза								
__label__1__10	в туалете льется вода все время в унитазе								
__label__1__10	в унитазе не держится вода, все время течет								
__label__1__11	холодная вода ржавая								
__label__1__11	вода из холодного крана воняет								
__label__1__11	грязная вода в кране								
__label__1__11	невозможно пить воду из крана холодную								
__label__1__11	из холодного крана течет вонючая вода								
__label__1__11	вода плохого качества из холодного крана								
__label__1__11	дайте нормальную воду								
__label__1__11	вода воняет железом								
__label__1__11	проверили воду оказалось плохая								
__label__1__12	в газовой колонке не хватает напора воды								
__label__1__12	газовая колонка перегреваетсяя из-за маленького напора								
__label__1__12	дайте сильнее напор воды в газовую колонку								
__label__1__12	в газ не подается нужный напор воды								
__label__1__12	в агв не хватает напора воды								
__label__1__12	необходимо исправить напор воды в газовую колонку								
__label__1__12	дайте сильнее воду в колонку обогревательную								
__label__1__13	в подвале нужно сменить ХВС								
__label__1__13	кран холодного водоснабжения сломан								
__label__1__13	почините кран холодной вды в подвале								
__label__1__13	в подвале не работает кран с водой холодной								
__label__1__13	пробко сальниковый кран замените								
__label__1__13	сальниковый кран необходимо заменить в подвале для холодной воды								
__label__1__13	Смена крана воды в подвале								
__label__1__13	смените пробко-сальниковый кран хвс в подвале								
__label__1__14	вода еле течет из крана								
__label__1__14	нет напора холодной воды в кране								
__label__1__14	Напор воды вообще никакой, когда заменить? Дайте больше напора воды								
__label__1__14	в кране холодном нет водного напора								
__label__1__14	нет напора воды в кране ХВС								
__label__1__14	холодное водоснабжение с маленьким напором								
__label__1__14	воды почти нет холодной								
__label__1__14	невозможно помыться, вода еле течет холодная								
__label__1__15	у меня под ванной лужа								
__label__1__15	прорвало что-то под ванной								
__label__1__15	в ванне лужа								
__label__1__15	протекает холодная вода в ванне 								
__label__1__15	под ванной кажется что-то течет								
__label__1__15	у меня сорвало воду под ванной								
__label__1__15	в ванной комнате протечка воды								
__label__1__16	с потолка капает								
__label__1__16	течь воды с потолка в ванне								
__label__1__16	у меня капает вода с потолка								
__label__1__16	меня затопили соседи								
__label__1__16	льется вода с потолка								
__label__1__16	протекает вода с крыши								
__label__1__16	мой потолок капает								
__label__1__16	соседи топят меня!								
__label__1__16	затопление сверху								
__label__1__17	из холодного крана горячая вода								
__label__1__17	в моем кране вместо холодной вода теплая								
__label__1__17	вода другая течет из холодного крана								
__label__1__17	вода не туда течет, у меня горячая вода в кране холодном								
__label__1__17	подмес воды горячей в холодную								
__label__1__17	помогите, у меня теплая вода в холодном кране								
__label__1__17	горячая вода как-то попадает в холодный кран								
